==== Evaluation Results ====

| Model    | Resolution   | Horizon   | Target Variable   | Input Type   |    MAE |   RMSE |   MAPE (%) |   Fit Time |   # Params |
|----------|--------------|-----------|-------------------|--------------|--------|--------|------------|------------|------------|
| AR(1)    | 1h           | t+1       | T                 | Univariate   | 0.8700 | 1.2800 |   145.7800 |     0.0030 |          2 |
| AR(1)    | 1h           | t+6       | T                 | Univariate   | 2.2500 | 3.0500 |   311.7800 |     0.0030 |          2 |
| AR(1)    | 6h           | t+1       | T                 | Univariate   | 1.8100 | 2.5500 |   196.1300 |     0.0015 |          2 |
| AR(1)    | 6h           | t+4       | T                 | Univariate   | 1.8700 | 2.6300 |   118.3100 |     0.0015 |          2 |
| AR(1)    | 24h          | t+1       | T                 | Univariate   | 1.5200 | 2.1900 |   140.9300 |     0.0021 |          2 |
| AR(8)    | 1h           | t+1       | T                 | Univariate   | 0.6600 | 0.9600 |   122.7400 |     0.0071 |          9 |
| AR(8)    | 1h           | t+6       | T                 | Univariate   | 1.5800 | 2.0700 |   307.9000 |     0.0071 |          9 |
| AR(14)   | 6h           | t+1       | T                 | Univariate   | 2.5700 | 3.4800 |   158.7900 |     0.0020 |         15 |
| AR(14)   | 6h           | t+4       | T                 | Univariate   | 1.9100 | 2.6100 |   117.3800 |     0.0020 |         15 |
| AR(3)    | 24h          | t+1       | T                 | Univariate   | 1.6300 | 2.2300 |   118.6300 |     0.0051 |          4 |
| RNN      | 1h           | t+1       | T                 | Univariate   | 0.4000 | 0.5200 |    83.2600 |   262.3221 |       1153 |
| RNN      | 6h           | t+1       | T                 | Univariate   | 1.1100 | 1.4400 |   360.1400 |    13.3534 |       1153 |
| RNN      | 24h          | t+1       | T                 | Univariate   | 1.2400 | 1.8500 |   136.0600 |     0.4107 |       1153 |
| RNN      | 1h           | t+6       | T                 | Univariate   | 2.5300 | 2.9900 |   688.1300 |   262.3221 |       1153 |
| RNN      | 6h           | t+4       | T                 | Univariate   | 1.1300 | 1.4500 |   351.8100 |    13.3534 |       1153 |
| RNN_MV   | 1h           | t+1       | T                 | Multivariate | 0.3300 | 0.4400 |    53.8800 |   208.0975 |       1217 |
| RNN_MV   | 6h           | t+1       | T                 | Multivariate | 1.0600 | 1.3700 |   284.8900 |    11.9231 |       1217 |
| RNN_MV   | 24h          | t+1       | T                 | Multivariate | 1.2300 | 1.8600 |    99.9200 |     0.3713 |       1217 |
| RNN_MV   | 1h           | t+6       | T                 | Multivariate | 2.2400 | 2.8900 |   461.4500 |   208.0975 |       1217 |
| RNN_MV   | 6h           | t+4       | T                 | Multivariate | 1.1300 | 1.5100 |   227.8100 |    11.9231 |       1217 |
| ATT      | 1h           | t+1       | T                 | Univariate   | 0.8500 | 0.9800 |   202.5000 |    95.0852 |      19489 |
| ATT      | 6h           | t+1       | T                 | Univariate   | 1.1900 | 1.4900 |   313.8700 |    19.9860 |      18081 |
| ATT      | 24h          | t+1       | T                 | Univariate   | 1.2700 | 1.8500 |   210.7900 |     1.4142 |      17857 |
| ATT      | 1h           | t+6       | T                 | Univariate   | 4.4000 | 4.9900 |  1131.4700 |    95.0852 |      19489 |
| ATT      | 6h           | t+4       | T                 | Univariate   | 1.2300 | 1.5700 |   308.1100 |    19.9860 |      18081 |
| ATT_MV   | 1h           | t+1       | T                 | Multivariate | 0.5100 | 0.6300 |   157.4800 |   171.5065 |      19553 |
| ATT_MV   | 6h           | t+1       | T                 | Multivariate | 1.1500 | 1.5300 |   263.2100 |    16.7227 |      18145 |
| ATT_MV   | 24h          | t+1       | T                 | Multivariate | 1.2300 | 1.8300 |   184.6900 |     2.2906 |      17921 |
| ATT_MV   | 1h           | t+6       | T                 | Multivariate | 2.6100 | 3.1300 |   644.6800 |   171.5065 |      19553 |
| ATT_MV   | 6h           | t+4       | T                 | Multivariate | 1.1900 | 1.5800 |   267.0600 |    16.7227 |      18145 |
| TRANS    | 1h           | t+1       | T                 | Univariate   | 0.4800 | 0.6200 |   120.9200 |   131.4954 |      19105 |
| TRANS    | 6h           | t+1       | T                 | Univariate   | 1.2800 | 1.6200 |   242.1500 |    19.4195 |      19105 |
| TRANS    | 24h          | t+1       | T                 | Univariate   | 1.1300 | 1.6000 |   205.7500 |     1.1834 |      19105 |
